
Detection(bounding_box=BoundingBox(origin_x=380, origin_y=340, width=62, height=107), categories=[Category(index=43, score=0.15234375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=139, origin_y=38, width=59, height=224), categories=[Category(index=43, score=0.15234375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=150, origin_y=187, width=58, height=99), categories=[Category(index=43, score=0.1328125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=267, origin_y=201, width=35, height=94), categories=[Category(index=43, score=0.11328125, display_name='', category_name='bottle')])


Detection(bounding_box=BoundingBox(origin_x=6, origin_y=2, width=610, height=476), categories=[Category(index=81, score=0.6953125, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=251, origin_y=339, width=63, height=122), categories=[Category(index=43, score=0.41796875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=379, origin_y=332, width=66, height=120), categories=[Category(index=43, score=0.37890625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=143, origin_y=337, width=65, height=122), categories=[Category(index=43, score=0.359375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=367, origin_y=151, width=65, height=139), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=262, origin_y=190, width=52, height=108), categories=[Category(index=43, score=0.21484375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=140, origin_y=38, width=63, height=181), categories=[Category(index=43, score=0.15234375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=175, width=59, height=111), categories=[Category(index=43, score=0.15234375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=262, origin_y=130, width=66, height=163), categories=[Category(index=43, score=0.140625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=291, origin_y=190, width=30, height=106), categories=[Category(index=43, score=0.10546875, display_name='', category_name='bottle')])


Detection(bounding_box=BoundingBox(origin_x=5, origin_y=0, width=628, height=480), categories=[Category(index=81, score=0.78515625, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=141, origin_y=38, width=66, height=111), categories=[Category(index=43, score=0.62109375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=259, origin_y=185, width=64, height=113), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=142, origin_y=335, width=66, height=122), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=183, width=63, height=109), categories=[Category(index=43, score=0.4609375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=251, origin_y=338, width=65, height=121), categories=[Category(index=43, score=0.4609375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=380, origin_y=333, width=63, height=118), categories=[Category(index=43, score=0.4375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=368, origin_y=187, width=66, height=113), categories=[Category(index=43, score=0.3984375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=374, origin_y=40, width=63, height=115), categories=[Category(index=43, score=0.359375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=263, origin_y=40, width=59, height=111), categories=[Category(index=43, score=0.2421875, display_name='', category_name='bottle')])


